	PeakID (cmd=annotatePeaks.pl data/GSM816655_hg19_wgEncodeOpenChromDnaseK562PkV2.narrowPeak hg19 -gtf ref_files/gencode.v41.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
40059	chr3.1527	chr3	42160254	42160639	+	633		exon (ENST00000341421.7, exon 1 of 13)	protein_coding-exon (ENST00000341421.7, exon 1 of 13)	234	ENST00000469506.3	ENSG00000182606	ENST00000341421			TRAK1			protein_coding
40075	chr2.2518	chr2	69869721	69870175	+	632		intron (ENST00000495047.1, intron 1 of 2)	protein_coding-intron (ENST00000282570.4, intron 12 of 13)	391	ENST00000495047.1	ENSG00000087338	ENST00000495047			GMCL1			protein_coding
40078	chr17.74	chr17	1360183	1360578	+	632		intron (ENST00000573196.5, intron 2 of 3)	protein_coding-intron (ENST00000264335.13, intron 4 of 5)	914	ENST00000496706.1	ENSG00000108953	ENST00000489287			YWHAE			protein_coding
40080	chr19.1300	chr19	6108578	6109470	+	632		promoter-TSS (ENST00000588342.1)	lncRNA-promoter-TSS (ENST00000588342.1)	-298	ENST00000588342.1	ENSG00000267299	ENST00000588342			ENSG00000267299			lncRNA
40081	chr19.75	chr19	570455	570891	+	632		promoter-TSS (ENST00000346916.9)	protein_coding-promoter-TSS (ENST00000346916.9)	-604	ENST00000545507.6	ENSG00000172270	ENST00000614867			BSG			protein_coding
40097	chr13.1388	chr13	113929678	113930024	+	632		promoter-TSS (ENST00000562710.2)	lncRNA-promoter-TSS (ENST00000562710.2)	-860	ENST00000562710.2	ENSG00000260910	ENST00000562710			LINC00565			lncRNA
40100	chrX.937	chrX	48475943	48476338	+	632		promoter-TSS (ENST00000019019.6)	protein_coding-promoter-TSS (ENST00000019019.6)	-13	ENST00000492562.5	ENSG00000068438	ENST00000473235			FTSJ1			protein_coding
40103	chr2.6839	chr2	230579679	230580056	+	632		promoter-TSS (ENST00000414539.1)	lncRNA-promoter-TSS (ENST00000414539.1)	66	ENST00000414539.1	ENSG00000235419	ENST00000455357			ENSG00000235419			lncRNA
40106	chr17.2213	chr17	37225636	37226058	+	632		promoter-TSS (ENST00000612120.4)	protein_coding-promoter-TSS (ENST00000612120.4)	-276	ENST00000612120.4	ENSG00000278540	ENST00000618351			ACACA			protein_coding
40111	chr1.2404	chr1	16872084	16872564	+	632		promoter-TSS (ENST00000451828.1)	lncRNA-promoter-TSS (ENST00000451828.1)	40	ENST00000453554.1	ENSG00000228549	ENST00000660907			ENSG00000228549			lncRNA
40118	chr16.995	chr16	5289496	5289807	+	632		promoter-TSS (ENST00000588011.1)	processed_pseudogene-promoter-TSS (ENST00000588011.1)	-242	ENST00000588011.1	ENSG00000267182	ENST00000588011			SNRPCP20			processed_pseudogene
40121	chr2.3785	chr2	105852053	105852455	+	632		intron (ENST00000425756.1, intron 1 of 2)	protein_coding-intron (ENST00000233154.9, intron 2 of 4)	472	ENST00000393349.2	ENSG00000071051	ENST00000425756			NCK2			protein_coding
40130	chr1.1104	chr1	6065356	6065970	+	632		promoter-TSS (ENST00000662363.1)	protein_coding-promoter-TSS (ENST00000662363.1)	-90	ENST00000662363.1	ENSG00000069424	ENST00000378097			KCNAB2			protein_coding
40132	chr12.459	chr12	8218804	8219235	+	632		promoter-TSS (ENST00000542600.1)	transcribed_unprocessed_pseudogene-promoter-TSS (ENST00000542600.1)	-108	ENST00000542600.1	ENSG00000244050	ENST00000491870			DEFB109F			transcribed_unprocessed_pseudogene
40135	chr22.1867	chr22	38793234	38793633	+	632		intron (ENST00000475512.2, intron 1 of 1)	protein_coding-intron (ENST00000216068.9, intron 1 of 3)	699	ENST00000475512.2	ENSG00000100246	ENST00000216068			DNAL4			protein_coding
40138	chr4.415	chr4	3235495	3236146	+	632		TTS (ENST00000513806.1)	protein_coding-TTS (ENST00000513806.1)	396	ENST00000508321.1	ENSG00000197386	ENST00000650595			HTT			protein_coding
40141	chr6.4975	chr6	140085783	140086173	+	632		promoter-TSS (ENST00000446458.2)	lncRNA-promoter-TSS (ENST00000446458.2)	-699	ENST00000446458.2	ENSG00000236013	ENST00000656952			LINC02941			lncRNA
40144	chr3.4314	chr3	142926235	142926588	+	632		promoter-TSS (ENST00000476385.1)	lncRNA-promoter-TSS (ENST00000476385.1)	-264	ENST00000476385.1	ENSG00000243818	ENST00000658642			ENSG00000243818			lncRNA
40153	chr16.2118	chr16	28712700	28713100	+	632		promoter-TSS (ENST00000568426.1)	protein_coding-promoter-TSS (ENST00000568426.1)	-359	ENST00000568426.1	ENSG00000184110	ENST00000395587			EIF3C			protein_coding
40160	chr7.5661	chr7	151126872	151129555	+	632		promoter-TSS (ENST00000478320.1)	protein_coding-promoter-TSS (ENST00000478320.1)	-120	ENST00000494808.1	ENSG00000133612	ENST00000475145			AGAP3			protein_coding
40166	chr1.10866	chr1	203272524	203272905	+	632		promoter-TSS (ENST00000484834.5)	protein_coding-promoter-TSS (ENST00000484834.5)	95	ENST00000484834.5	ENSG00000133063	ENST00000491855			CHIT1			protein_coding
40174	chr12.1365	chr12	48994773	48995140	+	632		promoter-TSS (ENST00000549516.1)	lncRNA-promoter-TSS (ENST00000549516.1)	-194	ENST00000549516.1	ENSG00000258283	ENST00000549516			ENSG00000258283			lncRNA
40193	chr19.250	chr19	1169850	1170338	+	632		promoter-TSS (ENST00000587655.2)	protein_coding-promoter-TSS (ENST00000587655.2)	-948	ENST00000587655.2	ENSG00000064932	ENST00000590446			SBNO2			protein_coding
40209	chr22.2184	chr22	41746184	41746611	+	632		promoter-TSS (ENST00000384086.1)	misc_RNA-promoter-TSS (ENST00000384086.1)	-915	ENST00000384086.1	ENSG00000206813	ENST00000384086			Y_RNA			misc_RNA
40214	chr17.4129	chr17	58679337	58679664	+	632		TTS (ENST00000364127.1)	snRNA-TTS (ENST00000364127.1)	190	ENST00000364127.1	ENSG00000200997	ENST00000364127			RNVU1-34			snRNA
40215	chr19.1445	chr19	7438812	7439137	+	632		promoter-TSS (ENST00000359920.11)	protein_coding-promoter-TSS (ENST00000359920.11)	-714	ENST00000359920.11	ENSG00000104880	ENST00000594665			ARHGEF18			protein_coding
40219	chr2.5471	chr2	172734929	172735267	+	632		promoter-TSS (ENST00000397081.8)	protein_coding-promoter-TSS (ENST00000397081.8)	-176	ENST00000484331.5	ENSG00000091428	ENST00000540783			RAPGEF4			protein_coding
40240	chr3.5016	chr3	177200982	177201356	+	632		intron (ENST00000635794.1, intron 1 of 5)	protein_coding-intron (ENST00000635794.1, intron 1 of 5)	648	ENST00000637544.1	ENSG00000177565	ENST00000636864			TBL1XR1			protein_coding
40245	chr20.2522	chr20	50259617	50260280	+	632		intron (ENST00000651466.1, intron 1 of 5)	lncRNA-intron (ENST00000651466.1, intron 1 of 5)	929	ENST00000651466.1	ENSG00000224397	ENST00000651976			PELATON			lncRNA
40248	chr2.3351	chr2	95536062	95536768	+	632		promoter-TSS (ENST00000445492.1)	processed_pseudogene-promoter-TSS (ENST00000445492.1)	80	ENST00000445492.1	ENSG00000236431	ENST00000445492			ENSG00000236431			processed_pseudogene
40250	chr7.3226	chr7	95545873	95546315	+	631		intron (ENST00000665332.1, intron 1 of 1)	lncRNA-intron (ENST00000665332.1, intron 1 of 1)	850	ENST00000665332.1	ENSG00000231170	ENST00000668366			PDK4-AS1			lncRNA
40259	chr19.4060	chr19	39737180	39738048	+	631		intron (ENST00000221804.5, intron 1 of 3)	protein_coding-intron (ENST00000221804.5, intron 1 of 3)	415	ENST00000221804.5	ENSG00000105205	ENST00000221804			CLC			protein_coding
40265	chr12.4430	chr12	122973662	122974038	+	631		promoter-TSS (ENST00000397389.6)	protein_coding-promoter-TSS (ENST00000397389.6)	-617	ENST00000622723.1	ENSG00000150967	ENST00000536976			ABCB9			protein_coding
40266	chr1.10719	chr1	202158969	202159546	+	631		promoter-TSS (ENST00000492977.5)	protein_coding-promoter-TSS (ENST00000492977.5)	-688	ENST00000492977.5	ENSG00000143851	ENST00000496197			PTPN7			protein_coding
40277	chr15.631	chr15	40874993	40875433	+	631		promoter-TSS (ENST00000220507.5)	protein_coding-promoter-TSS (ENST00000220507.5)	780	ENST00000612411.1	ENSG00000274798	ENST00000612411			ENSG00000274798			lncRNA
40283	chr11.852	chr11	6497781	6498198	+	631		exon (ENST00000254579.11, exon 3 of 43)	protein_coding-exon (ENST00000254579.11, exon 3 of 43)	684	ENST00000477562.1	ENSG00000179532	ENST00000532027			DNHD1			protein_coding
40285	chr1.1840	chr1	11425825	11426186	+	631		promoter-TSS (ENST00000435243.2)	processed_pseudogene-promoter-TSS (ENST00000435243.2)	-184	ENST00000435243.2	ENSG00000224338	ENST00000435243			MTCYBP45			processed_pseudogene
40286	chr7.1410	chr7	29649386	29649742	+	631		promoter-TSS (ENST00000414296.2)	transcribed_unprocessed_pseudogene-promoter-TSS (ENST00000414296.2)	-596	ENST00000690394.1	ENSG00000288973	ENST00000690394			ENSG00000288973			lncRNA
40298	chr1.1253	chr1	6519577	6521436	+	631		promoter-TSS (ENST00000377740.5)	protein_coding-promoter-TSS (ENST00000377740.5)	-432	ENST00000675812.1	ENSG00000171680	ENST00000377748			PLEKHG5			protein_coding
40308	chr17.2717	chr17	41089760	41090092	+	631		promoter-TSS (ENST00000657137.1)	lncRNA-promoter-TSS (ENST00000657137.1)	-412	ENST00000657137.1	ENSG00000287602	ENST00000657137			ENSG00000287602			lncRNA
40327	chr9.361	chr9	33510805	33511302	+	631		promoter-TSS (ENST00000379514.2)	unprocessed_pseudogene-promoter-TSS (ENST00000379514.2)	-342	ENST00000379514.2	ENSG00000226823	ENST00000379514			SUGT1P1			unprocessed_pseudogene
40333	chr19.1848	chr19	10930832	10931351	+	631		promoter-TSS (ENST00000593162.1)	protein_coding-promoter-TSS (ENST00000593162.1)	-977	ENST00000593162.1	ENSG00000142444	ENST00000593162			TIMM29			protein_coding
40335	chr17.699	chr17	9809259	9809590	+	631		promoter-TSS (ENST00000609065.1)	lncRNA-promoter-TSS (ENST00000609065.1)	-569	ENST00000609065.1	ENSG00000278944	ENST00000609065			ENSG00000278944			lncRNA
40349	chr17.2672	chr17	40778407	40778755	+	631		promoter-TSS (ENST00000540723.1)	protein_coding-promoter-TSS (ENST00000540723.1)	-561	ENST00000540723.1	ENSG00000171446	ENST00000301656			KRT27			protein_coding
40356	chr15.3655	chr15	101168019	101168351	+	631		promoter-TSS (ENST00000557903.5)	lncRNA-promoter-TSS (ENST00000557903.5)	-345	ENST00000557903.5	ENSG00000259182	ENST00000558515			ENSG00000259182			lncRNA
40369	chr12.4671	chr12	125116931	125117621	+	631		promoter-TSS (ENST00000538851.5)	protein_coding-promoter-TSS (ENST00000538851.5)	-291	ENST00000538851.5	ENSG00000081760	ENST00000418937			AACS			protein_coding
40379	chr3.3482	chr3	124487687	124488019	+	631		promoter-TSS (ENST00000473056.1)	protein_coding-promoter-TSS (ENST00000473056.1)	-435	ENST00000473056.1	ENSG00000160145	ENST00000682636			KALRN			protein_coding
40393	chr10.864	chr10	24608404	24608716	+	631		promoter-TSS (ENST00000476067.1)	protein_coding-promoter-TSS (ENST00000476067.1)	-682	ENST00000476067.1	ENSG00000107863	ENST00000486374			ARHGAP21			protein_coding
40415	chr19.5716	chr19	51341532	51341935	+	631		exon (ENST00000335624.5, exon 2 of 10)	protein_coding-exon (ENST00000335624.5, exon 2 of 10)	406	ENST00000335624.5	ENSG00000186806	ENST00000335624			VSIG10L			protein_coding
40425	chr14.2657	chr14	105536070	105536695	+	631		TTS (ENST00000448724.1)	processed_pseudogene-TTS (ENST00000448724.1)	857	ENST00000448724.1	ENSG00000230157	ENST00000448724			ATP5MC1P1			processed_pseudogene
40435	chr9.290	chr9	27528285	27529272	+	631		promoter-TSS (ENST00000649931.1)	lncRNA-promoter-TSS (ENST00000649931.1)	-307	ENST00000649931.1	ENSG00000285103	ENST00000649931			ENSG00000285103			lncRNA
40440	chr5.2423	chr5	112183895	112184289	+	631		promoter-TSS (ENST00000509342.6)	protein_coding-promoter-TSS (ENST00000509342.6)	-705	ENST00000509342.6	ENSG00000129595	ENST00000515047			EPB41L4A			protein_coding
40457	chr5.2113	chr5	88428927	88429360	+	631		intron (ENST00000665517.1, intron 2 of 2)	lncRNA-intron (ENST00000501715.6, intron 7 of 7)	671	ENST00000606189.1	ENSG00000250156	ENST00000606189			LINC02060			lncRNA
40469	chr22.828	chr22	23773545	23773937	+	631		intron (ENST00000465730.1, intron 1 of 1)	protein_coding-intron (ENST00000215743.8, intron 1 of 7)	892	ENST00000437086.5	ENSG00000099953	ENST00000488363			MMP11			protein_coding
40477	chr19.2580	chr19	16552489	16552816	+	631		promoter-TSS (ENST00000593812.1)	protein_coding-promoter-TSS (ENST00000593812.1)	-319	ENST00000593812.1	ENSG00000127526	ENST00000600356			SLC35E1			protein_coding
40479	chr1.1870	chr1	11675171	11675647	+	631		TTS (ENST00000445656.5)	protein_coding-TTS (ENST00000445656.5)	313	ENST00000697272.1	ENSG00000116670	ENST00000376667			MAD2L2			protein_coding
40486	chr6.1778	chr6	31982267	31982974	+	631		promoter-TSS (ENST00000467749.1)	protein_coding-promoter-TSS (ENST00000467749.1)	-223	ENST00000467749.1	ENSG00000244731	ENST00000480795			C4A			protein_coding
40494	chr17.2614	chr17	40374174	40374538	+	631		TTS (ENST00000516809.1)	rRNA_pseudogene-TTS (ENST00000516809.1)	267	ENST00000516809.1	ENSG00000252618	ENST00000516809			RNA5SP441			rRNA_pseudogene
40497	chrX.125	chrX	8783522	8783850	+	630		exon (ENST00000437611.1, exon 1 of 1)	processed_pseudogene-exon (ENST00000437611.1, exon 1 of 1)	775	ENST00000437611.1	ENSG00000225574	ENST00000437611			DRAXINP1			processed_pseudogene
40508	chr15.3183	chr15	90099885	90100234	+	630		intron (ENST00000559482.5, intron 1 of 7)	protein_coding-intron (ENST00000330062.8, intron 1 of 10)	636	ENST00000540499.2	ENSG00000182054	ENST00000330062			IDH2			protein_coding
40515	chr8.516	chr8	17770126	17770449	+	630		intron (ENST00000518891.1, intron 1 of 2)	protein_coding-intron (ENST00000262102.10, intron 1 of 14)	294	ENST00000518891.1	ENSG00000129422	ENST00000518755			MTUS1			protein_coding
40516	chr17.3451	chr17	47080996	47081662	+	630		promoter-TSS (ENST00000697420.1)	unprocessed_pseudogene-promoter-TSS (ENST00000697420.1)	-398	ENST00000697420.1	ENSG00000289730	ENST00000697420			ENSG00000289730			unprocessed_pseudogene
40517	chr22.1611	chr22	36819462	36819910	+	630		promoter-TSS (ENST00000216200.9)	protein_coding-promoter-TSS (ENST00000216200.9)	-207	ENST00000216200.9	ENSG00000100362	ENST00000443735			PVALB			protein_coding
40520	chr19.5776	chr19	51762647	51762972	+	630		promoter-TSS (ENST00000598776.1)	protein_coding-promoter-TSS (ENST00000598776.1)	49	ENST00000598776.1	ENSG00000171049	ENST00000600722			FPR2			protein_coding
40545	chr19.877	chr19	3783586	3783992	+	630		TTS (ENST00000590028.5)	protein_coding-TTS (ENST00000590028.5)	129	ENST00000588983.5	ENSG00000007264	ENST00000590980			MATK			protein_coding
40576	chr19.6002	chr19	54431032	54431349	+	630		exon (ENST00000301194.8, exon 10 of 14)	protein_coding-exon (ENST00000301194.8, exon 10 of 14)	377	ENST00000492920.5	ENSG00000167614	ENST00000301194			TTYH1			protein_coding
40589	chr16.2466	chr16	31093884	31094806	+	630		promoter-TSS (ENST00000472468.1)	protein_coding-promoter-TSS (ENST00000472468.1)	204	ENST00000394971.7	ENSG00000167397	ENST00000319788			VKORC1			protein_coding
40596	chr11.3928	chr11	70415549	70415969	+	630		promoter-TSS (ENST00000532334.1)	protein_coding-promoter-TSS (ENST00000532334.1)	-981	ENST00000532334.1	ENSG00000085733	ENST00000532334			CTTN			protein_coding
40597	chr10.223	chr10	5522455	5522893	+	630		exon (ENST00000543008.2, exon 1 of 2)	lncRNA-exon (ENST00000543008.2, exon 1 of 2)	503	ENST00000543008.2	ENSG00000205488	ENST00000545372			CALML3-AS1			lncRNA
40602	chr7.4035	chr7	106504037	106504387	+	630		intron (ENST00000592441.1, intron 3 of 4)	lncRNA-intron (ENST00000475791.5, intron 1 of 3)	627	ENST00000475791.5	ENSG00000243797	ENST00000475791			ENSG00000243797			lncRNA
40609	chr11.1219	chr11	12824168	12824647	+	630		promoter-TSS (ENST00000526953.1)	lncRNA-promoter-TSS (ENST00000526953.1)	-740	ENST00000526953.1	ENSG00000254688	ENST00000526953			ENSG00000254688			lncRNA
40615	chr6.4386	chr6	116883828	116884261	+	630		promoter-TSS (ENST00000471966.1)	protein_coding-promoter-TSS (ENST00000471966.1)	-745	ENST00000471966.1	ENSG00000185002	ENST00000332958			RFX6			protein_coding
40616	chr19.1936	chr19	11480247	11480646	+	630		intron (ENST00000592218.1, intron 1 of 1)	protein_coding-intron (ENST00000359227.8, intron 1 of 6)	179	ENST00000438662.6	ENSG00000196361	ENST00000359227			ELAVL3			protein_coding
40627	chr14.1186	chr14	68887865	68888197	+	630		promoter-TSS (ENST00000555136.1)	processed_pseudogene-promoter-TSS (ENST00000555136.1)	53	ENST00000555136.1	ENSG00000258967	ENST00000555136			HMGN1P3			processed_pseudogene
40640	chr4.568	chr4	4386567	4387035	+	630		promoter-TSS (ENST00000504171.1)	protein_coding-promoter-TSS (ENST00000504171.1)	-238	ENST00000513829.5	ENSG00000168824	ENST00000506380			NSG1			protein_coding
40661	chr12.261	chr12	6124453	6124856	+	630		promoter-TSS (ENST00000261405.10)	protein_coding-promoter-TSS (ENST00000261405.10)	11	ENST00000540192.1	ENSG00000110799	ENST00000612016			VWF			protein_coding
40673	chr2.2806	chr2	74135060	74135432	+	630		TTS (ENST00000295326.4)	protein_coding-TTS (ENST00000295326.4)	774	ENST00000401851.2	ENSG00000217702	ENST00000652224			ENSG00000217702			lncRNA
40674	chr9.10	chr9	272162	272503	+	630		promoter-TSS (ENST00000382341.5)	protein_coding-promoter-TSS (ENST00000382341.5)	670	ENST00000429661.1	ENSG00000235880	ENST00000429661			ENSG00000235880			lncRNA
40676	chr10.1824	chr10	52770692	52771066	+	630		intron (ENST00000675947.1, intron 2 of 4)	protein_coding-intron (ENST00000373968.3, intron 1 of 3)	821	ENST00000373968.3	ENSG00000165471	ENST00000675947			MBL2			protein_coding
40699	chr7.1651	chr7	35946045	35946423	+	629		promoter-TSS (ENST00000455017.1)	unprocessed_pseudogene-promoter-TSS (ENST00000455017.1)	-60	ENST00000455017.1	ENSG00000226102	ENST00000455017			SEPTIN7P3			unprocessed_pseudogene
40703	chr15.1964	chr15	69591011	69591571	+	629		promoter-TSS (ENST00000558411.1)	lncRNA-promoter-TSS (ENST00000558411.1)	-838	ENST00000558411.1	ENSG00000245750	ENST00000674275			DRAIC			lncRNA
40712	chr10.132	chr10	3782426	3782912	+	629		promoter-TSS (ENST00000173785.4)	protein_coding-promoter-TSS (ENST00000173785.4)	-618	ENST00000173785.4	ENSG00000067082	ENST00000461124			KLF6			protein_coding
40714	chr11.3065	chr11	64275355	64275796	+	629		promoter-TSS (ENST00000538244.1)	protein_coding-promoter-TSS (ENST00000538244.1)	-113	ENST00000538244.1	ENSG00000173264	ENST00000538032			GPR137			protein_coding
40716	chr15.2686	chr15	78933127	78934104	+	629		exon (ENST00000676510.1, exon 5 of 12)	protein_coding-exon (ENST00000676510.1, exon 5 of 12)	-94	ENST00000676668.1	ENSG00000103811	ENST00000527715			CTSH			protein_coding
40720	chr17.5735	chr17	78169784	78170261	+	629		exon (ENST00000592456.1, exon 1 of 1)	protein_coding-exon (ENST00000592456.1, exon 1 of 1)	338	ENST00000592456.1	ENSG00000108639	ENST00000585591			SYNGR2			protein_coding
40724	chr7.2881	chr7	75443014	75443471	+	629		promoter-TSS (ENST00000607367.5)	protein_coding-promoter-TSS (ENST00000607367.5)	-523	ENST00000607367.5	ENSG00000272391	ENST00000398379			POM121C			protein_coding
40732	chrX.271	chrX	13768367	13768679	+	629		exon (ENST00000683055.1, exon 13 of 13)	protein_coding-exon (ENST00000683055.1, exon 13 of 13)	618	ENST00000474705.1	ENSG00000046651	ENST00000683065			OFD1			protein_coding
40733	chr19.3433	chr19	32831156	32831543	+	629		promoter-TSS (ENST00000590069.1)	lncRNA-promoter-TSS (ENST00000590069.1)	54	ENST00000590069.1	ENSG00000267555	ENST00000590069			ENSG00000267555			lncRNA
40736	chr15.855	chr15	43668298	43668634	+	629		promoter-TSS (ENST00000409481.1)	protein_coding-promoter-TSS (ENST00000409481.1)	-348	ENST00000409481.1	ENSG00000166762	ENST00000381761			CATSPER2			protein_coding
40738	chr16.2962	chr16	56448254	56448637	+	629		intron (ENST00000684388.1, intron 8 of 13)	protein_coding-intron (ENST00000300291.10, intron 1 of 6)	814	ENST00000568822.1	ENSG00000167005	ENST00000300291			NUDT21			protein_coding
40740	chr1.5537	chr1	43990477	43990857	+	629		promoter-TSS (ENST00000372318.8)	protein_coding-promoter-TSS (ENST00000372318.8)	-692	ENST00000486064.5	ENSG00000159214	ENST00000479055			CCDC24			protein_coding
40753	chr1.121	chr1	1116321	1118025	+	629		promoter-TSS (ENST00000462097.5)	protein_coding-promoter-TSS (ENST00000462097.5)	-812	ENST00000475119.5	ENSG00000131591	ENST00000427787			C1orf159			protein_coding
40754	chr6.1013	chr6	24126205	24126568	+	629		intron (ENST00000475830.5, intron 1 of 2)	protein_coding-intron (ENST00000378477.2, intron 1 of 3)	146	ENST00000378477.2	ENSG00000152954	ENST00000468195			NRSN1			protein_coding
40755	chr10.3730	chr10	102397534	102397911	+	629		promoter-TSS (ENST00000336486.5)	protein_coding-promoter-TSS (ENST00000336486.5)	96	ENST00000697917.1	ENSG00000077150	ENST00000697883			NFKB2			protein_coding
40762	chr1.12202	chr1	228352130	228352634	+	629		promoter-TSS (ENST00000474237.2)	protein_coding-promoter-TSS (ENST00000474237.2)	-625	ENST00000474237.2	ENSG00000154358	ENST00000664957			OBSCN			protein_coding
40774	chr8.747	chr8	22573145	22573949	+	629		intron (ENST00000519127.1, intron 1 of 1)	protein_coding-intron (ENST00000240123.12, intron 20 of 20)	210	ENST00000519127.1	ENSG00000120896	ENST00000523941			SORBS3			protein_coding
40789	chr22.1940	chr22	39380199	39380670	+	629		TTS (ENST00000623458.1)	TEC-TTS (ENST00000623458.1)	824	ENST00000623458.1	ENSG00000280216	ENST00000623458			ENSG00000280216			TEC
40807	chr1.6231	chr1	53974780	53975746	+	629		exon (ENST00000437410.2, exon 1 of 1)	processed_pseudogene-exon (ENST00000437410.2, exon 1 of 1)	768	ENST00000437410.2	ENSG00000219102	ENST00000437410			HNRNPA3P12			processed_pseudogene
40822	chr19.5090	chr19	47886678	47887009	+	629		promoter-TSS (ENST00000222002.4)	protein_coding-promoter-TSS (ENST00000222002.4)	-528	ENST00000222002.4	ENSG00000105398	ENST00000222002			SULT2A1			protein_coding
40838	chr19.4464	chr19	42785719	42786340	+	629		intron (ENST00000452007.1, intron 1 of 2)	protein_coding-intron (ENST00000401467.6, intron 1 of 4)	566	ENST00000452007.1	ENSG00000238092	ENST00000452007			CEACAMP6			unprocessed_pseudogene
40843	chr19.6130	chr19	55597377	55598818	+	629		promoter-TSS (ENST00000587678.1)	protein_coding-promoter-TSS (ENST00000587678.1)	-255	ENST00000587678.1	ENSG00000179943	ENST00000221665			FIZ1			protein_coding
40846	chr5.664	chr5	8012474	8013135	+	629		intron (ENST00000669941.1, intron 1 of 1)	lncRNA-intron (ENST00000669941.1, intron 1 of 1)	427	ENST00000669941.1	ENSG00000287947	ENST00000669941			ENSG00000287947			lncRNA
40851	chr3.4613	chr3	156227484	156227880	+	629		intron (ENST00000473876.1, intron 1 of 3)	protein_coding-intron (ENST00000389636.9, intron 1 of 12)	201	ENST00000473876.1	ENSG00000240596	ENST00000473876			KCNAB1-AS2			lncRNA
40856	chr22.1144	chr22	29269584	29269911	+	629		intron (ENST00000493426.1, intron 1 of 3)	protein_coding-intron (ENST00000331029.11, intron 1 of 14)	524	ENST00000493426.1	ENSG00000182944	ENST00000414183			EWSR1			protein_coding
40861	chr6.5155	chr6	149492080	149492481	+	629		promoter-TSS (ENST00000406807.2)	processed_pseudogene-promoter-TSS (ENST00000406807.2)	9	ENST00000406807.2	ENSG00000219553	ENST00000406807			ENSG00000219553			processed_pseudogene
40862	chr6.1613	chr6	31082713	31083402	+	629		promoter-TSS (ENST00000410963.1)	snRNA-promoter-TSS (ENST00000410963.1)	47	ENST00000410963.1	ENSG00000222895	ENST00000410963			RNU6-1133P			snRNA
40874	chr6.1299	chr6	27759814	27760383	+	628		exon (ENST00000668543.1, exon 1 of 3)	lncRNA-exon (ENST00000668543.1, exon 1 of 3)	228	ENST00000668543.1	ENSG00000287252	ENST00000689964			ENSG00000287252			lncRNA
40888	chr1.8251	chr1	145139423	145140022	+	628		promoter-TSS (ENST00000640951.1)	unprocessed_pseudogene-promoter-TSS (ENST00000640951.1)	-264	ENST00000640951.1	ENSG00000283752	ENST00000640951			ENSG00000283752			unprocessed_pseudogene
40890	chr8.2446	chr8	98883154	98883559	+	628		TTS (ENST00000519420.1)	protein_coding-TTS (ENST00000519420.1)	439	ENST00000523567.1	ENSG00000104375	ENST00000520440			STK3			protein_coding
40897	chr11.1443	chr11	18013393	18013697	+	628		promoter-TSS (ENST00000265965.10)	protein_coding-promoter-TSS (ENST00000265965.10)	-498	ENST00000265965.10	ENSG00000129158	ENST00000525422			SERGEF			protein_coding
40910	chr9.2661	chr9	128168589	128169194	+	628		exon (ENST00000476541.1, exon 2 of 2)	protein_coding-exon (ENST00000476541.1, exon 2 of 2)	212	ENST00000485001.1	ENSG00000148337	ENST00000485862			CIZ1			protein_coding
40919	chrX.1022	chrX	49066293	49066767	+	628		exon (ENST00000620388.1, exon 1 of 1)	protein_coding-exon (ENST00000620388.1, exon 1 of 1)	135	ENST00000620388.1	ENSG00000147144	ENST00000603986			CCDC120			protein_coding
40923	chr6.1086	chr6	26022347	26022685	+	628		TTS (ENST00000617569.2)	protein_coding-TTS (ENST00000617569.2)	867	ENST00000617569.2	ENSG00000278637	ENST00000617569			H4C1			protein_coding
40928	chr14.67	chr14	21402320	21402727	+	628		promoter-TSS (ENST00000646558.1)	protein_coding-promoter-TSS (ENST00000646558.1)	-394	ENST00000646558.1	ENSG00000100888	ENST00000430710			CHD8			protein_coding
40935	chr17.508	chr17	7239657	7239991	+	628		promoter-TSS (ENST00000320316.8)	protein_coding-promoter-TSS (ENST00000320316.8)	-102	ENST00000570899.1	ENSG00000040633	ENST00000320316			PHF23			protein_coding
40958	chr19.2013	chr19	12075602	12075947	+	628		exon (ENST00000439326.8, exon 4 of 4)	protein_coding-exon (ENST00000439326.8, exon 4 of 4)	447	ENST00000651606.1	ENSG00000286132	ENST00000651606			ENSG00000286132			protein_coding
40962	chr1.6466	chr1	55844210	55844534	+	628		intron (ENST00000671520.1, intron 1 of 2)	lncRNA-intron (ENST00000424357.1, intron 2 of 4)	998	ENST00000671520.1	ENSG00000234810	ENST00000661225			ENSG00000234810			lncRNA
40975	chr1.7370	chr1	95774593	95774929	+	628		intron (ENST00000664740.1, intron 1 of 1)	lncRNA-intron (ENST00000456933.1, intron 2 of 3)	514	ENST00000664740.1	ENSG00000228971	ENST00000665349			LINC02607			lncRNA
40984	chr1.9807	chr1	168543546	168543879	+	628		TTS (ENST00000449688.1)	processed_pseudogene-TTS (ENST00000449688.1)	285	ENST00000367819.3	ENSG00000143185	ENST00000367819			XCL2			protein_coding
